Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
28 Feb 26,-236.38,Card ending 8723,,PURCHASE AUTHORISATION,Woolworths Online 1800000610 036,-7387.85,Groceries,Woolworths Online,
28 Feb 26,-6.00,Card ending 8723,,PURCHASE AUTHORISATION,SQ *CARMEL AMELIA SCHOOL Woodend 036,-7151.47,Other shopping,Square,
28 Feb 26,-11.50,Card ending 8723,,PURCHASE AUTHORISATION,BUNNINGS SUNBURY 6411 SUNBURY 036,-7145.47,Home improvements,Bunnings (Sunbury),
28 Feb 26,-7.70,Card ending 6690,,PURCHASE AUTHORISATION,VIC PROPERTY CERTS MELBOURNE 036,-7133.97,Government,"Department of Environment, Land, Water & Planning",
28 Feb 26,-28.99,Card ending 6690,,PURCHASE AUTHORISATION,Netflix.com Melbourne 036,-7126.27,Subscriptions,Netflix,
27 Feb 26,-4.49,Card ending 8723,,PURCHASE AUTHORISATION,Google One Barangaroo 036,-7097.28,Electronics & technology,Google Australia,
27 Feb 26,-9.50,Card ending 8723,,PURCHASE AUTHORISATION,Gaffney's Bakery Heathcote 036,-7092.79,Groceries,Gaffney's Bakery (Heathcote),
27 Feb 26,-37.10,Card ending 8723,,PURCHASE AUTHORISATION,EZI*Hume City Council 0 036,-7083.29,Other shopping,EziDebit,
27 Feb 26,-429.87,Card ending 6690,,PURCHASE AUTHORISATION,Zurich Australia Limited North Sydney 036,-7046.19,Insurance,Zurich,
27 Feb 26,-9.99,Card ending 6690,,PURCHASE AUTHORISATION,AMZNPRIMEA* AMZNPRIMEA +61180006412 036,-6616.32,Subscriptions,Amazon Prime Membership,
27 Feb 26,-16.45,Card ending 6690,,CREDIT CARD PURCHASE,Audible Limited AU MELBOURNE,-6606.33,Subscriptions,Audible,27 Feb 26
27 Feb 26,-10.00,Card ending 8723,,CREDIT CARD PURCHASE,HUME CITY COUNCIL SUNBURY,-6589.88,Travel expenses,Hume City Council (Sunbury Visitor Information Centre),27 Feb 26
27 Feb 26,-52.34,Card ending 6690,,CREDIT CARD PURCHASE,CRAZYDOMAINSHOSTING 61290372826,-6579.88,Electronics & technology,Crazy Domains,27 Feb 26
27 Feb 26,-0.52,Card ending 6690,,FEES,NAB INTNL TRAN FEE - (SC),-6527.54,Fees,,27 Feb 26
27 Feb 26,-151.95,Card ending 8723,,CREDIT CARD PURCHASE,SchoolPix 0387864800,-6527.02,Services,SchoolPix,27 Feb 26
26 Feb 26,-56.32,Card ending 8723,,PURCHASE AUTHORISATION,CHEMIST WAREHOUSE SUNBURY 036,-6375.07,Medical,Chemist Warehouse (Sunbury),
26 Feb 26,-1.49,Card ending 8723,,PURCHASE AUTHORISATION,APPLE.COM/BILL SYDNEY 036,-6318.75,Subscriptions,Apple (App Store),
26 Feb 26,-15.00,Card ending 6690,,CREDIT CARD PURCHASE,Delivery Unlimited BellaVista,-6317.26,Groceries,Woolworths,26 Feb 26
26 Feb 26,-300.00,Card ending 6690,,CREDIT CARD PURCHASE,BOOST PREPAID RECHARGE MELBOURNE,-6302.26,Phone & internet,Boost Mobile Australia,26 Feb 26
26 Feb 26,-193.31,Card ending 8723,,CREDIT CARD PURCHASE,Woolworths Online BellaVista,-6002.26,Groceries,Woolworths Online,26 Feb 26
